id,district_corrected
10837,TZ2002
35458,TZ2105
36038,TZ2203
64447,TZ1802
22897,TZ1804
2915,TZ0207
14016,TZ1204
69525,TZ1404
73061,TZ1305
42031,TZ2202
33235,TZ1704
41839,TZ1907
62002,TZ2505
6106,TZ0206
25915,TZ1207
20673,TZ1704
59475,TZ0401
24012,TZ2205
69107,TZ2609
64062,TZ0802
44002,TZ1804
37471,TZ1804
49585,TZ1203
60852,TZ0502
64130,TZ1405
17687,TZ0506
38876,TZ0502
28669,TZ0702
73769,TZ1803
66521,TZ2206
53167,TZ0806
24232,TZ1207
65788,TZ2001
72981,TZ1207
60983,TZ0703
37768,TZ2002
64880,TZ1606
32871,TZ1001
45564,TZ1202
23519,TZ2503
50173,TZ2404
66843,TZ0802
13815,TZ2206
36591,TZ1502
71845,TZ2202
42180,TZ1602
63632,TZ1902
55594,TZ1303
11787,TZ1402
48528,TZ1605
72678, 
50970,TZ0903
37840,TZ1005
44258,TZ1502
10715,TZ0601
12120,TZ0503
67980,TZ0501
41635,TZ1501
14884,TZ2101
56725, 
33037,TZ2606
22190,TZ0403
47459,TZ1101
68908,TZ0606
62670,TZ0202
60866,TZ1502
2136,TZ0606
33320,TZ1104
58126,TZ2601
45604,TZ1807
67428,TZ1202
52318,TZ1207
33347,TZ1305
36684,TZ1102
41034,TZ1102
112,TZ0601
4807,TZ2202
41845,TZ0901
6065,TZ0303
37187,TZ0301
26540,TZ2004
8879,TZ1702
30377,TZ1805
20203,TZ1302
8060,TZ2204
59630,TZ2206
10068,TZ1805
34609,TZ1806
26701,TZ2606
46897,TZ0202
34636,TZ0601
52520,TZ0204
75,TZ2202
31626,TZ1203
3181,TZ2302
43098,TZ2605
37008,TZ0303
34853,TZ1203
48752,TZ0304
31132,TZ1703
37562,TZ0206
28740,TZ2606
30257,TZ1302
53212,TZ0303
40729,TZ0202
48695,TZ1606
35140,TZ0607
46814,TZ2004
7721,TZ0507
63695,TZ1304
7171,TZ2503
58838,TZ1907
61046,TZ0409
68347,TZ1901
14746,TZ1302
14952,TZ0902
64334,TZ2102
72374,TZ1202
33169,TZ1401
4907,TZ0506
49994,TZ2601
59588,TZ0404
46893,TZ0507
16944,TZ2505
35828,TZ0105
24377,TZ0408
51694,TZ1101
70241,TZ1806
1780,TZ1101
39490,TZ0403
21704,TZ0304
35193,TZ0604
24948,TZ2202
6076,TZ0903
18451,TZ0304
13042, 
34877,TZ2203
10891,TZ1705
33500, 
1012,TZ0901
4321,TZ1101
41162,TZ1503
31957,TZ1807
15815,TZ1303
47462,TZ0105
28110,TZ1703
52448,TZ0106
18832,TZ0203
62720,TZ1608
14326,TZ0303
36933,TZ1202
65093,TZ0903
50139,TZ1204
36455,TZ1405
49732,TZ2606
20200,TZ1703
43777,TZ1601
42497,TZ1006
52601,TZ0504
65530,TZ0408
73024,TZ0302
18842,TZ1503
9474,TZ1606
44434,TZ1601
36366,TZ1702
47236,TZ0206
8633,TZ1605
71487, 
46268,TZ0304
36093,TZ2404
2591,TZ1504
69669,TZ1607
67377,TZ0506
51185,TZ1306
24049,TZ0202
70835,TZ0204
74176,TZ0304
68037,TZ0105
10992,TZ0904
45886,TZ1901
64793,TZ2609
40808,TZ0906
62565,TZ1805
70379, 
10089,TZ1703
37364,TZ1203
43345,TZ1402
39310,TZ2505
59713, 
28945,TZ1204
5074,TZ2101
54009,TZ0606
35563,TZ1005
17668,TZ1202
30390,TZ1203
1298,TZ1808
2993,TZ0603
63712,TZ1601
61979,TZ1501
39704,TZ0901
29191,TZ0403
35649,TZ1207
15840,TZ0905
45415, 
8055,TZ0102
51403, 
33963,TZ0801
21669,TZ1503
7900, 
337,TZ1603
17861,TZ1006
13195,TZ0105
54722,TZ0804
2845,TZ2202
17111,TZ2605
21338,TZ1702
49326,TZ2404
15358,TZ1001
33040,TZ0106
40592,TZ2202
29513,TZ0503
51163,TZ1501
40920,TZ1402
65101,TZ0504
21127,TZ0103
67822,TZ0206
14135,TZ2102
10458,TZ0304
32089, 
8230,TZ0202
43433,TZ1006
62188,TZ0502
19,TZ0901
26577,TZ2104
68887,TZ1207
9382,TZ1602
65238,TZ1305
17897,TZ1201
29744,TZ0206
23987,TZ1803
26655,TZ1202
17978,TZ0207
51558,TZ0103
48007,TZ0407
25534,TZ2201
13969,TZ1402
39548,TZ1608
25143,TZ0503
25736,TZ0202
17516,TZ2004
66980,TZ1403
45444,TZ0503
59310, 
59102,TZ0204
61883,TZ0503
93,TZ1002
15988,TZ2202
19304,TZ0605
44092,TZ1001
66242,TZ0104
51611,TZ1001
53847,TZ0103
67634,TZ0302
24757,TZ0304
37524,TZ0204
16341,TZ2402
39176,TZ0504
24836,TZ1002
73470,TZ1201
11533,TZ1401
74217,TZ0206
7007,TZ2205
4101,TZ1904
17041,TZ1501
38725,TZ2202
39749,TZ0702
62642,TZ0304
49453,TZ0303
63018,TZ1102
65932,TZ0902
56863,TZ1005
23835,TZ0502
34870,TZ0906
39915,TZ0202
9736,TZ1901
70019,TZ1204
20984,TZ1907
20132,TZ1705
5963,TZ2404
3740,TZ1101
26943,TZ0506
43742,TZ1001
5784,TZ1503
42548,TZ1102
5121,TZ0501
57478,TZ1804
58537,TZ0302
3627,TZ2205
4062,TZ1905
15832,TZ0702
34741,TZ1006
67097,TZ0501
4437,TZ0304
65817,TZ0307
39559,TZ0607
54412,TZ1207
25344,TZ0605
2301,TZ0304
32844,TZ0201
59874,TZ1802
50233,TZ0702
29639,TZ1202
65584,TZ0304
43808,TZ1703
6788,TZ2101
51220, 
16872,TZ1204
66383,TZ0304
58599,TZ0206
29383,TZ1701
36809,TZ0605
29753,TZ1807
72112,TZ0804
34926,TZ0805
59898,TZ0503
779,TZ1102
68126,TZ0503
48102,TZ0801
24794,TZ1202
29771,TZ1904
29052,TZ1603
4923,TZ1204
38642,TZ0904
27079,TZ2601
60111,TZ2202
12478,TZ0202
67155,TZ1702
54733,TZ0906
45654,TZ0503
54678,TZ2202
1439,TZ0805
16313,TZ1703
6735,TZ0303
3328,TZ0601
1220,TZ1802
57970,TZ1607
44204,TZ0301
63675,TZ0205
40519,TZ1001
66382,TZ1005
45386,TZ0804
43604,TZ0406
59053,TZ0401
1030,TZ2303
52677,TZ1703
1738,TZ0504
19548,TZ1805
30897,TZ2201
27523,TZ0605
815,TZ0206
14910,TZ0301
11184,TZ1305
49071,TZ0207
22000,TZ1703
60074,TZ1605
60374,TZ0206
25913,TZ0106
6205,TZ0604
48390,TZ0206
3980,TZ0501
11905,TZ0307
45320,TZ2201
31264,TZ0905
16537,TZ2503
9096,TZ1807
33104,TZ1005
11754,TZ1702
4147,TZ1001
53577,TZ0303
42476,TZ1102
68995,TZ0903
32255,TZ0601
8699,TZ2204
1203,TZ2303
70666,TZ2404
26293,TZ0703
44358,TZ0301
64687,TZ1601
71489,TZ2006
61994,TZ0206
42306,TZ1502
67453,TZ0206
11581,TZ0903
14123,TZ1608
18266,TZ1806
59263,TZ0204
6387,TZ1202
28359,TZ0405
17571,TZ1302
53558,TZ0202
66967,TZ1703
72238,TZ0401
12207,TZ0305
68495,TZ1902
19283,TZ2204
38565,TZ0906
3522,TZ1701
21927,TZ1202
60029,TZ0905
26851,TZ0401
41968,TZ0802
38379,TZ1101
54983,TZ1703
68333,TZ0504
65944,TZ0601
5947,TZ2601
42347,TZ0502
67371,TZ1207
64048,TZ2102
42733,TZ0506
4133,TZ1202
50124,TZ0503
69502,TZ0607
45876,TZ1202
52402,TZ1204
24691,TZ1101
67950,TZ2203
19232,TZ0301
65266,TZ2101
48401,TZ1104
53972,TZ1003
59369,TZ0504
21737,TZ1503
13211,TZ1305
63864,TZ1104
30174,TZ2202
70930,TZ0903
36823,TZ1405
63746,TZ1207
24331,TZ0607
41174,TZ2505
70070,TZ1002
31332,TZ1207
11011,TZ0604
12245,TZ0501
68493,TZ0301
5946,TZ2204
27334,TZ0103
60626,TZ1306
69018,TZ0702
49196,TZ1204
26839,TZ1005
58681,TZ0903
70584,TZ1703
6758,TZ2403
65476,TZ1603
63687,TZ0602
49678,TZ1003
57948,TZ0604
42350,TZ2205
4526,TZ0603
51133,TZ0401
70054,TZ1401
48080,TZ1302
12552,TZ0603
52707,TZ2606
68660,TZ1904
64257,TZ1601
46719,TZ1504
17219,TZ0303
29658,TZ0105
14992,TZ0206
56386,TZ1901
8757,TZ0501
13727,TZ2001
22928,TZ0303
63748,TZ1301
42195,TZ0102
36067,TZ1603
54113,TZ1302
59405,TZ2202
62511,TZ0806
23315,TZ1701
40509,TZ1303
45093,TZ0104
45889,TZ1904
71634,TZ1401
15250,TZ1503
32245,TZ0804
3777,TZ1501
71658,TZ0406
48546,TZ2606
11957,TZ1207
49862,TZ0202
38775,TZ1702
66760,TZ1401
61574,TZ1905
57395,TZ1305
21830,TZ2006
18225,TZ2201
25165,TZ0401
67199,TZ1905
22385,TZ0402
4636,TZ2205
35726,TZ0601
6939,TZ2404
31692,TZ0604
47016,TZ0506
53147,TZ0803
27776,TZ1806
17242,TZ0403
53218,TZ0403
60433,TZ1704
48033,TZ0101
58642,TZ0804
7420,TZ0803
11811,TZ1503
54548,TZ0304
54848,TZ0703
32336,TZ0604
26535,TZ1001
71856,TZ0304
53518,TZ1602
11087,TZ2203
14701,TZ0304
11447,TZ0801
23819,TZ0601
27069,TZ0303
21064,TZ0601
36711,TZ1203
37750,TZ0104
47102,TZ0604
13734,TZ0503
50708,TZ0303
38763,TZ0102
38220,TZ1606
5060,TZ1606
29153,TZ0805
53985,TZ1401
6519,TZ0302
47117,TZ1003
20625, 
46110,TZ0804
72474,TZ0503
623,TZ0802
27561,TZ1002
52067,TZ0202
6757,TZ0501
54596,TZ1703
67545,TZ1904
51355,TZ1402
28846,TZ0402
13685,TZ0503
7863,TZ2609
55543,TZ0302
63908,TZ2205
23407,TZ0403
57452,TZ1005
42339,TZ2202
42491,TZ0202
27128, 
28741,TZ1102
7936,TZ1802
40427,TZ0903
64144,TZ0601
15188,TZ1703
25220,TZ1608
59031,TZ0603
69979,TZ1808
25199,TZ2404
70644,TZ1006
7841,TZ1302
32699,TZ1705
25339,TZ0101
53106,TZ0101
39953,TZ2504
22679,TZ1207
32012,TZ2002
35007,TZ0405
19409, 
54670,TZ0503
36702,TZ2203
57293,TZ1703
50001,TZ2002
6002,TZ0702
46231,TZ0206
10342,TZ2203
54599,TZ2403
26302,TZ1005
24052,TZ1802
11362,TZ2403
4554,TZ0504
3873,TZ0603
1856,TZ0403
19574,TZ1001
3843,TZ2007
71216,TZ2505
42487,TZ0302
19869,TZ0304
71891,TZ1701
5875,TZ0805
63423,TZ0304
38537, 
880,TZ0506
28306,TZ1001
69377,TZ1704
492,TZ1702
11641,TZ2606
69883,TZ0305
8709,TZ0306
8316,TZ2002
32164,TZ2202
49888,TZ0903
17809,TZ0503
71837,TZ2403
36267, 
64333,TZ1306
39105,TZ0901
13866,TZ1705
42943,TZ1401
42959,TZ0802
27736,TZ0104
68179,TZ1801
19672,TZ2605
37322,TZ0303
42431,TZ2201
25766,TZ1406
70897,TZ1502
61759,TZ0905
64031,TZ2202
18488,TZ0401
13501,TZ0304
26856,TZ0601
59448,TZ1808
56471,TZ2102
17287, 
8080,TZ0901
27799, 
35558,TZ0903
63978,TZ2103
45566,TZ0903
61039,TZ2404
71895,TZ1907
968,TZ0206
3995,TZ0503
1604,TZ1502
53188,TZ2402
5562,TZ0501
10976,TZ1303
18814,TZ0503
43732,TZ0401
72282,TZ0201
69101,TZ1302
25947,TZ1802
43149,TZ0503
50383,TZ1005
49431,TZ0903
45744,TZ1207
18848,TZ1907
711,TZ1302
6044,TZ0105
2940,TZ0802
57305,TZ0107
58286,TZ2403
66643,TZ0102
12756,TZ0304
15545,TZ0605
47221,TZ1703
2414,TZ2002
11497,TZ1202
71236,TZ2004
26174,TZ0405
14985,TZ0202
41560,TZ2503
26204,TZ2202
21623,TZ1104
37757,TZ0302
59179,TZ2402
1981,TZ0104
72237,TZ0702
51820, 
23732,TZ1805
47193,TZ0603
5464,TZ2105
57085,TZ1905
59694,TZ1001
56708,TZ0504
3091,TZ0501
37039,TZ0202
13201,TZ1602
10527,TZ2204
40666,TZ2006
47783,TZ0902
47756,TZ0803
66682,TZ1101
11388,TZ1907
1605,TZ0504
10065,TZ0502
72943,TZ0102
38507,TZ2204
54163,TZ0406
27790,TZ0502
37114,TZ0408
70237,TZ0803
47075,TZ0507
61558,TZ0301
28921,TZ1808
38293,TZ1101
23288,TZ2201
50641,TZ1902
1074,TZ0102
68641,TZ1305
40102,TZ2202
51665,TZ1003
13739,TZ1207
60171,TZ2303
18825,TZ0202
7942,TZ0304
60688,TZ0405
9401,TZ0401
58495,TZ1703
41985, 
17569,TZ0703
14438,TZ2301
52390,TZ1804
37241,TZ0601
37507,TZ2104
2829,TZ2503
34664,TZ1102
16672,TZ0101
4778,TZ1204
55567,TZ0701
11871,TZ1503
27571,TZ0504
13555,TZ0405
23465,TZ0903
28822,TZ1403
50898,TZ1905
53006,TZ0503
56631,TZ0702
46988,TZ1104
4672,TZ1802
35778,TZ0405
70424,TZ1803
58389,TZ0904
11695,TZ2302
37915,TZ1907
65995,TZ0906
8988,TZ0507
12598,TZ2102
34130,TZ0303
28032,TZ0604
72055,TZ0401
14727,TZ0305
7784,TZ1803
44120,TZ0405
6424,TZ1102
146,TZ1102
56277,TZ0501
60410,TZ1803
61169,TZ1608
22244,TZ1805
61060,TZ0601
33006,TZ0305
6988,TZ0307
23156,TZ0504
54772,TZ0602
19362,TZ1704
60535,TZ0501
54055,TZ2403
6171,TZ2201
48519,TZ0903
33946,TZ1305
68894,TZ0401
36606,TZ1401
72553,TZ2403
13987,TZ0805
20639,TZ0102
21896,TZ0503
25354,TZ0602
24752,TZ0305
7691,TZ0203
61992,TZ1001
19080,TZ1502
34305,TZ1704
36513,TZ1003
41986,TZ0303
36255,TZ2102
28016,TZ2303
55033,TZ0506
18928,TZ1802
44976,TZ1405
7296,TZ2204
10085, 
15643,TZ0503
1817,TZ0202
15975,TZ0903
22396,TZ1802
2547,TZ0501
24638,TZ1608
47697,TZ1401
25000,TZ2002
52461,TZ1001
49160,TZ1204
42590,TZ1302
65061,TZ1907
25243,TZ0601
30320,TZ1102
69136,TZ1703
28993,TZ2205
25367,TZ1207
53109,TZ1803
18169,TZ0607
18729,TZ0402
40750,TZ0401
16363,TZ2606
22402,TZ2201
52686,TZ1901
50841,TZ2202
12656,TZ1005
21315,TZ0204
32543, 
73274,TZ2004
20697,TZ1902
5009,TZ0304
19781,TZ2101
56226,TZ0405
69168,TZ0305
26962,TZ1705
43964,TZ2202
72849,TZ0801
15974,TZ0604
5071,TZ0506
44480,TZ2102
54327,TZ0405
55560,TZ1204
5563,TZ1804
44490,TZ1703
4379,TZ2404
58526,TZ0402
41227,TZ2204
9069,TZ1005
32952, 
42342,TZ1904
5455,TZ1501
39280,TZ0403
43079,TZ2606
46510, 
17088,TZ0103
61476,TZ0901
44578,TZ1001
46507,TZ0602
38201,TZ2606
15306, 
20347,TZ0201
72772,TZ1801
52991,TZ2504
68844,TZ1104
16923,TZ0501
22283,TZ1602
54056,TZ0304
3968,TZ0402
33094,TZ1203
20020,TZ0503
25712,TZ2002
30261,TZ0206
38474,TZ1801
36914,TZ2404
21383,TZ1005
45754,TZ2007
61131,TZ2205
11961,TZ0103
59071,TZ1603
458,TZ0202
1678, 
32502,TZ0206
14763,TZ0101
41826,TZ1204
17360,TZ1606
62435,TZ1202
60873,TZ0503
61750,TZ0607
47384,TZ1606
11570,TZ1401
5769,TZ1002
41064,TZ1704
73337,TZ2002
2296,TZ1203
30758,TZ1001
11249,TZ2205
8975,TZ1704
15697,TZ1305
55516,TZ1204
68770,TZ0605
34340,TZ2601
73545,TZ0106
21946,TZ0507
20011,TZ2204
12096,TZ0503
52980,TZ0903
41433,TZ0401
21810,TZ1704
8064,TZ1302
72386,TZ2504
6948,TZ2101
61190,TZ0304
29182,TZ1201
5277,TZ1905
21792,TZ0604
34375,TZ0403
26402,TZ1704
65213,TZ0101
34298,TZ0302
72359,TZ1501
19234,TZ1807
1408,TZ1604
60705,TZ0304
19262,TZ0304
61177,TZ2403
15666,TZ0802
11352,TZ2505
19595,TZ0606
2523,TZ0701
51714,TZ2203
47206,TZ1004
46752,TZ1503
54871,TZ0702
30036,TZ0504
24034,TZ1104
7334,TZ0302
70461,TZ1102
74188,TZ1302
52643,TZ1405
30990,TZ2006
20637,TZ1203
52547,TZ1207
15529, 
48505,TZ1805
5968,TZ2202
17278,TZ0801
55164,TZ0302
21952,TZ0304
30140,TZ0604
23296,TZ0504
59327,TZ2205
34823,TZ1005
13244,TZ2302
14675,TZ0206
36360,TZ2103
59257,TZ2103
68473,TZ0702
6592,TZ0903
39088,TZ0702
15044,TZ1401
45312,TZ0501
25635,TZ0504
3246,TZ1901
72352,TZ0202
2427,TZ0404
15178,TZ1101
32145,TZ1805
38563, 
57980,TZ0503
58115,TZ1503
6905,TZ0106
38261,TZ1006
46317,TZ1803
47744,TZ0802
4674,TZ1102
7464,TZ0402
54386,TZ0504
58753,TZ1503
8734,TZ2202
20205,TZ0801
57641,TZ1603
3215,TZ0603
20872,TZ1803
34554,TZ2606
9793,TZ0506
43016,TZ0102
4435,TZ0402
32760,TZ0304
11879,TZ2204
10835,TZ1607
24198,TZ1902
14783,TZ0301
49627,TZ1904
16898,TZ1402
18730,TZ1203
51370,TZ1605
42001,TZ1904
45954,TZ1804
4072,TZ2505
25132,TZ1104
37522,TZ1602
9850,TZ1904
11736,TZ2204
72024,TZ2101
34272,TZ1306
27733,TZ2404
19274,TZ1904
44507,TZ0101
70026,TZ1804
21745,TZ1204
47134, 
47471,TZ1001
33789,TZ1803
48621,TZ2205
68054,TZ1403
50879,TZ1804
60376,TZ1207
27378,TZ0803
42383,TZ0403
74085,TZ0302
55074,TZ2102
46138,TZ1903
27695,TZ2206
30098,TZ1302
25576,TZ2503
10479,TZ0301
59522,TZ1606
57162,TZ0805
17413,TZ1904
2080,TZ1704
64577,TZ0102
28942,TZ0803
8686,TZ0503
9182,TZ1704
20207,TZ1603
16679,TZ0605
11991,TZ1302
2484,TZ0405
58277,TZ2105
51371,TZ1808
32063,TZ1202
69226,TZ1803
47870,TZ1603
3634,TZ0408
7061,TZ0903
46652,TZ1401
59430,TZ1802
3948,TZ2503
21067,TZ2201
31713,TZ0502
19346,TZ2505
1775,TZ2606
25178,TZ1901
30241,TZ1102
31034,TZ0304
33553,TZ1808
53697, 
13285,TZ1701
38383,TZ1004
19061,TZ1703
32551,TZ2203
21065,TZ1403
62237,TZ0304
29950,TZ0601
64684,TZ1304
6081,TZ2202
3640,TZ0206
69862,TZ0403
14082,TZ2007
71302,TZ1704
11549,TZ0804
5116,TZ1907
66603,TZ0601
20685,TZ1606
44654,TZ1702
65214,TZ1204
19542,TZ1905
20122,TZ0902
15760,TZ1904
69542, 
8263,TZ0303
66753,TZ0301
64690,TZ2002
48178,TZ2001
55522,TZ0603
38157,TZ0406
44506,TZ0601
57174,TZ0406
46378,TZ0305
58390,TZ1202
25232,TZ0205
57258,TZ2201
20382,TZ0605
26220,TZ1504
89,TZ0102
16438,TZ0301
11416, 
7221,TZ1005
20028,TZ2205
59420,TZ0408
32185,TZ1204
9770,TZ1003
45510,TZ1501
14924,TZ0902
52979,TZ0401
5291, 
46549,TZ1403
45439,TZ2606
69379,TZ1901
30775,TZ2003
40847,TZ1003
26627,TZ1403
66498,TZ1608
8465,TZ2001
782,TZ1502
62372,TZ1805
18829,TZ1203
67735,TZ0506
28909,TZ2205
44269,TZ0304
5415,TZ2504
5759,TZ0206
22936,TZ0202
66423,TZ0805
38140,TZ0103
60313,TZ0906
10242,TZ0206
46865,TZ2302
5589, 
21141,TZ0402
32361,TZ1005
25692,TZ1207
30213,TZ1905
34176,TZ1901
18875,TZ0301
19102,TZ1207
51699,TZ1703
63993,TZ1003
53761, 
73367,TZ2503
50957, 
23014,TZ1902
66976,TZ2101
52436,TZ2404
33848,TZ1805
73056,TZ1603
3402,TZ2103
65763,TZ1301
33725,TZ0802
66518,TZ0304
13536,TZ0303
29378,TZ0105
27291,TZ1704
59249,TZ2503
4841,TZ2104
14102,TZ2202
37723,TZ1203
20279,TZ1503
16855,TZ2606
30106,TZ2202
48019,TZ0904
48536,TZ0501
37967,TZ0904
3236,TZ0301
55345,TZ0207
10355,TZ1303
41454,TZ0303
1741,TZ1803
63429,TZ2002
42642,TZ2104
65474,TZ0304
9937,TZ0502
4821,TZ2203
18787,TZ1102
57556,TZ0206
57950,TZ2104
40320,TZ2204
59704,TZ0307
19257,TZ0305
25248,TZ2402
41336,TZ2404
20182,TZ2302
52629,TZ2004
7897,TZ0901
71021,TZ1102
31727,TZ0403
37557,TZ1304
36547,TZ0406
53864,TZ1303
7229,TZ1604
13315,TZ1302
10465, 
32508,TZ0503
24543,TZ0206
11916,TZ2205
23866,TZ0601
11191,TZ1602
17596,TZ0601
19273,TZ0901
43652,TZ2303
68467,TZ0202
48901,TZ0403
64046,TZ0503
33622,TZ1202
68432,TZ1006
62247,TZ1906
50443,TZ0301
74236,TZ0103
1347,TZ1805
55447,TZ1907
16362,TZ1904
19344,TZ1201
4295,TZ0206
22881,TZ0605
11010,TZ1102
43140,TZ0303
49775,TZ1808
34482,TZ0406
72330,TZ1501
13625,TZ1602
5309,TZ0408
40563, 
50709, 
2834,TZ1204
30624,TZ0502
55188,TZ0804
67538,TZ1305
61508,TZ0501
39621,TZ0901
12268,TZ1702
55253,TZ1002
58598,TZ2303
17659,TZ0406
54610,TZ0206
57454,TZ1804
60348,TZ0502
42980,TZ1403
66722,TZ2404
71813,TZ1501
44200,TZ0105
57826,TZ0303
9521,TZ2002
63061,TZ0103
12240,TZ0304
7440,TZ0307
63483,TZ1703
21939,TZ2204
36280,TZ0206
6354,TZ0703
46823,TZ1701
5250,TZ1402
72255,TZ2002
2004,TZ1102
2628,TZ0202
66328,TZ2202
11943,TZ1603
44469,TZ0504
67908,TZ1905
28644,TZ1805
35405,TZ1608
26072,TZ2004
12040,TZ0304
73528,TZ2202
55925,TZ2606
16166,TZ1603
5813,TZ1808
7866,TZ0501
54862,TZ2204
48436,TZ1305
2756,TZ2202
44054,TZ0304
40419,TZ2101
26897,TZ0904
8126,TZ0604
42971,TZ1001
66050,TZ1207
29501,TZ1002
37269,TZ1504
45875,TZ2101
51595,TZ0901
8814,TZ2605
30978,TZ0906
27909,TZ0102
29078,TZ1605
9452,TZ1705
56080,TZ0503
18193,TZ0103
74098,TZ0902
50311,TZ2303
46277,TZ0202
43431,TZ1805
60272,TZ0301
59728,TZ0304
36888,TZ1903
39005,TZ1001
46499,TZ0804
14652,TZ0302
40154,TZ0104
26599,TZ0206
43011,TZ0504
43623,TZ1002
25096,TZ2605
52622,TZ0503
24803,TZ1607
12449,TZ0401
51193,TZ0103
63936,TZ0801
41724,TZ1302
17939,TZ1804
19026,TZ2103
61342,TZ1306
70420,TZ1802
32528, 
26603,TZ2102
31672,TZ0206
7856,TZ1901
59436,TZ1801
58058,TZ2302
72595,TZ0906
32983,TZ2101
49240,TZ2004
66996,TZ1204
54975,TZ1005
7302,TZ1001
3348,TZ1805
65041,TZ0401
35761,TZ1503
19244,TZ1302
5163,TZ0702
24425,TZ1407
53230,TZ0601
36453,TZ1405
31808,TZ1905
50581,TZ2606
55387,TZ2404
404,TZ0903
26032,TZ2201
18382, 
70718,TZ1201
22677,TZ2606
69253,TZ1801
70361,TZ0701
55650, 
66859,TZ1302
36603,TZ0206
58473,TZ2102
69847,TZ2505
21267,TZ1802
27607,TZ0502
59507,TZ1001
19091,TZ2504
53537, 
2744,TZ0303
6337,TZ2203
52478,TZ0301
32103,TZ1204
58963,TZ0605
35230,TZ1705
12928,TZ0301
56501,TZ0506
51609,TZ0201
2711,TZ1805
71889,TZ0904
1927,TZ1005
36380,TZ0302
69356,TZ1302
53371,TZ2503
64719,TZ0304
43725,TZ0107
23962,TZ1907
30010,TZ0601
53410,TZ1805
39444,TZ0502
12696,TZ2202
61141,TZ0601
61217,TZ1204
17795,TZ0304
38936,TZ2201
21685,TZ0501
8575,TZ0803
43501,TZ1902
73746,TZ0301
31106,TZ2204
41574,TZ0302
12811,TZ0304
6011,TZ2007
50675,TZ2302
54036,TZ1801
2091,TZ1401
38619,TZ0507
69773, 
14437,TZ1702
30131,TZ0603
66113,TZ1504
33224,TZ1802
6854,TZ0205
55077,TZ1801
54,TZ2002
40354,TZ0301
26185,TZ1202
1737,TZ2203
60194,TZ0402
66346,TZ1101
6711,TZ1301
62749,TZ0105
8241,TZ1602
50713,TZ2103
19318,TZ0402
43831,TZ1901
2289,TZ1202
15846,TZ0701
34312,TZ0102
58337,TZ1302
34162, 
59560,TZ1104
13831,TZ0206
30401,TZ2204
27028,TZ0402
55838,TZ1204
71800,TZ1808
42774,TZ0303
15048,TZ0304
162,TZ1502
1073,TZ0107
12089,TZ0205
12538,TZ1608
31636,TZ2403
33153,TZ1006
549,TZ2007
19015,TZ0305
4392,TZ1304
29192,TZ0504
63271,TZ2601
54980,TZ2504
30026,TZ2105
63769,TZ0801
11198,TZ0906
56074, 
46656,TZ0205
27049,TZ0206
56939,TZ0503
5644,TZ0206
24302,TZ1203
33084,TZ0304
59428,TZ0603
73962,TZ1003
26797,TZ1602
60330,TZ0702
50388,TZ1003
42684, 
7064,TZ2202
36602,TZ0206
70730,TZ1902
48449,TZ1704
21602,TZ2104
61370,TZ0801
57990,TZ2203
39211,TZ1704
49973,TZ0605
36481, 
43968,TZ1204
13358,TZ0406
5280,TZ1702
7548,TZ0402
38693,TZ0906
61575,TZ1603
50509,TZ2606
